2013-01-07 20:40:29 status unpacked libattr1 1:2.4.46-5ubuntu1
2013-01-07 20:40:29 upgrade base-files 6.5ubuntu6 6.5ubuntu6
2013-01-07 20:40:29 status half-configured base-files 6.5ubuntu6
2013-01-07 20:40:29 status unpacked base-files 6.5ubuntu6
2013-01-07 20:40:29 status half-installed base-files 6.5ubuntu6
2013-01-07 20:40:29 status half-installed base-files 6.5ubuntu6
2013-01-07 20:40:29 status unpacked base-files 6.5ubuntu6
2013-01-07 20:40:29 status unpacked base-files 6.5ubuntu6
2013-01-07 20:40:29 upgrade base-passwd 3.5.24 3.5.24
2013-01-07 20:40:29 status half-configured base-passwd 3.5.24
2013-01-07 20:40:29 status unpacked base-passwd 3.5.24
2013-01-07 20:40:29 status half-installed base-passwd 3.5.24
2013-01-07 20:40:29 status half-installed base-passwd 3.5.24
2013-01-07 20:40:30 status unpacked base-passwd 3.5.24
2013-01-07 20:40:30 status unpacked base-passwd 3.5.24
2013-01-07 20:40:30 install bash <none> 4.2-2ubuntu2
2013-01-07 20:40:30 status half-installed bash 4.2-2ubuntu2
2013-01-07 20:40:30 status unpacked bash 4.2-2ubuntu2
2013-01-07 20:40:30 status unpacked bash 4.2-2ubuntu2
2013-01-07 20:40:30 install busybox-initramfs <none> 1:1.18.5-1ubuntu4
2013-01-07 20:40:30 status half-installed busybox-initramfs 1:1.18.5-1ubuntu4
2013-01-07 20:40:30 status unpacked busybox-initramfs 1:1.18.5-1ubuntu4
2013-01-07 20:40:30 status unpacked busybox-initramfs 1:1.18.5-1ubuntu4
2013-01-07 20:40:30 install libbz2-1.0 <none> 1.0.6-1
2013-01-07 20:40:30 status half-installed libbz2-1.0 1.0.6-1
2013-01-07 20:40:30 status unpacked libbz2-1.0 1.0.6-1
2013-01-07 20:40:30 status unpacked libbz2-1.0 1.0.6-1
2013-01-07 20:40:30 install coreutils <none> 8.13-3ubuntu3
2013-01-07 20:40:30 status half-installed coreutils 8.13-3ubuntu3
2013-01-07 20:40:31 status unpacked coreutils 8.13-3ubuntu3
2013-01-07 20:40:31 status unpacked coreutils 8.13-3ubuntu3
2013-01-07 20:40:31 install cpio <none> 2.11-7ubuntu3
2013-01-07 20:40:31 status half-installed cpio 2.11-7ubuntu3
2013-01-07 20:40:31 status unpacked cpio 2.11-7ubuntu3
2013-01-07 20:40:31 status unpacked cpio 2.11-7ubuntu3
2013-01-07 20:40:31 install dash <none> 0.5.7-2ubuntu2
2013-01-07 20:40:31 status half-installed dash 0.5.7-2ubuntu2
2013-01-07 20:40:31 status unpacked dash 0.5.7-2ubuntu2
2013-01-07 20:40:31 status unpacked dash 0.5.7-2ubuntu2
2013-01-07 20:40:31 install libdb5.1 <none> 5.1.25-11build1
2013-01-07 20:40:31 status half-installed libdb5.1 5.1.25-11build1
2013-01-07 20:40:31 status unpacked libdb5.1 5.1.25-11build1
2013-01-07 20:40:31 status unpacked libdb5.1 5.1.25-11build1
2013-01-07 20:40:31 install libdbus-1-3 <none> 1.4.18-1ubuntu1
2013-01-07 20:40:31 status half-installed libdbus-1-3 1.4.18-1ubuntu1
2013-01-07 20:40:31 status unpacked libdbus-1-3 1.4.18-1ubuntu1
2013-01-07 20:40:31 status unpacked libdbus-1-3 1.4.18-1ubuntu1
2013-01-07 20:40:31 upgrade debconf 1.5.42ubuntu1 1.5.42ubuntu1
2013-01-07 20:40:31 status half-configured debconf 1.5.42ubuntu1
2013-01-07 20:40:31 status unpacked debconf 1.5.42ubuntu1
2013-01-07 20:40:31 status half-installed debconf 1.5.42ubuntu1
2013-01-07 20:40:31 status half-installed debconf 1.5.42ubuntu1
2013-01-07 20:40:31 status unpacked debconf 1.5.42ubuntu1
2013-01-07 20:40:31 status unpacked debconf 1.5.42ubuntu1
2013-01-07 20:40:31 install debianutils <none> 4.2.1ubuntu2
2013-01-07 20:40:31 status half-installed debianutils 4.2.1ubuntu2
2013-01-07 20:40:31 status unpacked debianutils 4.2.1ubuntu2
2013-01-07 20:40:31 status unpacked debianutils 4.2.1ubuntu2
2013-01-07 20:40:31 install diffutils <none> 1:3.2-1ubuntu1
2013-01-07 20:40:31 status half-installed diffutils 1:3.2-1ubuntu1
2013-01-07 20:40:31 status unpacked diffutils 1:3.2-1ubuntu1
2013-01-07 20:40:31 status unpacked diffutils 1:3.2-1ubuntu1
2013-01-07 20:40:31 upgrade dpkg 1.16.1.2ubuntu7 1.16.1.2ubuntu7
2013-01-07 20:40:31 status half-configured dpkg 1.16.1.2ubuntu7
2013-01-07 20:40:31 status unpacked dpkg 1.16.1.2ubuntu7
2013-01-07 20:40:31 status half-installed dpkg 1.16.1.2ubuntu7
2013-01-07 20:40:32 status half-installed dpkg 1.16.1.2ubuntu7
2013-01-07 20:40:32 status unpacked dpkg 1.16.1.2ubuntu7
2013-01-07 20:40:32 status unpacked dpkg 1.16.1.2ubuntu7
2013-01-07 20:40:32 install e2fslibs <none> 1.42-1ubuntu2
2013-01-07 20:40:32 status half-installed e2fslibs 1.42-1ubuntu2
2013-01-07 20:40:32 status unpacked e2fslibs 1.42-1ubuntu2
2013-01-07 20:40:32 status unpacked e2fslibs 1.42-1ubuntu2
2013-01-07 20:40:32 install e2fsprogs <none> 1.42-1ubuntu2
2013-01-07 20:40:32 status half-installed e2fsprogs 1.42-1ubuntu2
2013-01-07 20:40:32 status unpacked e2fsprogs 1.42-1ubuntu2
2013-01-07 20:40:32 status unpacked e2fsprogs 1.42-1ubuntu2
2013-01-07 20:40:32 install libcomerr2 <none> 1.42-1ubuntu2
2013-01-07 20:40:32 status half-installed libcomerr2 1.42-1ubuntu2
2013-01-07 20:40:32 status unpacked libcomerr2 1.42-1ubuntu2
2013-01-07 20:40:32 status unpacked libcomerr2 1.42-1ubuntu2
2013-01-07 20:40:32 install libss2 <none> 1.42-1ubuntu2
2013-01-07 20:40:32 status half-installed libss2 1.42-1ubuntu2
2013-01-07 20:40:32 status unpacked libss2 1.42-1ubuntu2
2013-01-07 20:40:32 status unpacked libss2 1.42-1ubuntu2
2013-01-07 20:40:32 install libc-bin <none> 2.15-0ubuntu10
2013-01-07 20:40:32 status half-installed libc-bin 2.15-0ubuntu10
2013-01-07 20:40:32 status unpacked libc-bin 2.15-0ubuntu10
2013-01-07 20:40:32 status unpacked libc-bin 2.15-0ubuntu10
2013-01-07 20:40:32 upgrade libc6 2.15-0ubuntu10 2.15-0ubuntu10
2013-01-07 20:40:32 status half-configured libc6 2.15-0ubuntu10
